original_title,combined_features,title
February (Khumphaphan) (2003),drama romance year2003,februarykhumphaphan
La bandera (1935),drama romance year1935,labandera
Brácula (Condemor II) (1997),comedy horror year1997,brculacondemorii
Love and Distrust (2010),drama romance year2010,loveanddistrust
Summer Coda (2010),drama romance year2010,summercoda
Pelican Blood (2009),drama romance year2009,pelicanblood
Swedish Auto (2006),drama romance year2006,swedishauto
Love Chronicles (2003),drama romance year2003,lovechronicles
The Snow White Murder Case (2014),drama mystery year2014,thesnowwhitemurdercase
Sorry If I Call You Love (2014),drama romance year2014,sorryificallyoulove
Convenience (2015),action comedy year2015,convenience
The Guernsey Literary and Potato Peel Pie Society (2018),drama romance year2018,theguernseyliteraryandpotatopeelpiesociety
Sweet Dreams (2003),drama romance year2003,sweetdreams
Clara and Me (Clara et moi) (2004),drama romance year2004,claraandmeclaraetmoi
This Is the End (2013),action comedy year2013,thisistheend
Not Since You (2009),drama romance year2009,notsinceyou
Homebodies (1974),comedy horror year1974,homebodies
My Brilliant Career (1979),drama romance year1979,mybrilliantcareer
Swingers (2002),drama romance year2002,swingers
An Act of War (2015),drama mystery year2015,anactofwar
Pilot Error (2014),drama mystery year2014,piloterror
Vamp (1986),comedy horror year1986,vamp
Taifu Club (Taifû kurabu) (1985),drama romance year1985,taifuclubtaifkurabu
All the Fine Young Cannibals (1960),drama romance year1960,allthefineyoungcannibals
Kabhi Alvida Naa Kehna (2006),drama romance year2006,kabhialvidanaakehna
The Lighthouse of the Orcas (2016),drama romance year2016,thelighthouseoftheorcas
Abbott and Costello Meet the Mummy (1955),comedy horror year1955,abbottandcostellomeetthemummy
Zapatlela 2 (2013),comedy horror year2013,zapatlela2
Time Please (2013),drama romance year2013,timeplease
Premachi Goshta (2013),drama romance year2013,premachigoshta
Black Belt Jones (1974),action comedy year1974,blackbeltjones
"New Land, The (Nybyggarna) (1972)",drama western year1972,newlandthenybyggarna
She Was Like a Wild Chrysanthemum (1955),drama romance year1955,shewaslikeawildchrysanthemum
The Sweet Sex and Love (2003),drama romance year2003,thesweetsexandlove
Some Things That Stay (2007),drama romance year2007,somethingsthatstay
And Then Came Summer (2000),drama romance year2000,andthencamesummer
Hold Back the Dawn (1941),drama romance year1941,holdbackthedawn
Slaughterhouse Rulez (2018),comedy horror year2018,slaughterhouserulez
Fear of Water (2015),drama romance year2015,fearofwater
Falling From Grace (1992),drama romance year1992,fallingfromgrace
Padosan (1968),drama romance year1968,padosan
To the Wonder (2013),drama romance year2013,tothewonder
Prospero's Books (1991),drama fantasy year1991,prosperosbooks
Forsaken (2016),drama western year2016,forsaken
"Mambo Kings, The (1992)",drama musical year1992,themambokings
"Eternal Return, The (L'éternel retour) (1943)",drama romance year1943,eternalreturnthelternelretour
Picture of Beauty (2017),drama romance year2017,pictureofbeauty
Atlantic Ferry (1942),drama romance year1942,atlanticferry
Young Bess (1953),drama romance year1953,youngbess
"Greatest, The (2009)",drama romance year2009,thegreatest
Ernesto (1979),drama romance year1979,ernesto
The Corruption (1986),drama romance year1986,thecorruption
"Bodies, Rest & Motion (1993)",drama romance year1993,bodiesrestmotion
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),drama romance year1974,alifeareatsthesoulangstessenseeleauf
Romeo and Juliet: Shakespeare's Globe Theatre (2010),drama romance year2010,romeoandjulietshakespearesglobetheatre
The War Bride (2001),drama romance year2001,thewarbride
Na Tum Jaano Na Hum (2002),drama romance year2002,natumjaanonahum
DeadTectives (2018),comedy horror year2018,deadtectives
Carried Away (1996),drama romance year1996,carriedaway
The Fjällbacka Murders: The Coast Rider (2013),crime mystery year2013,thefjllbackamurdersthecoastrider
The Fjällbacka Murders: Friends for Life (2013),crime mystery year2013,thefjllbackamurdersfriendsforlife
The Fjällbacka Murders: The Queen of Lights (2013),crime mystery year2013,thefjllbackamurdersthequeenoflights
"The Fjällbacka Murders: The Sea Gives, the Sea Takes (2013)",crime mystery year2013,thefjllbackamurderstheseagivestheseatakes
Bright Star (2009),drama romance year2009,brightstar
"Cousins, The (Cousins, Les) (1959)",drama romance year1959,cousinsthecousinsles
Destiny: The Tale of Kamakura (2017),drama mystery year2017,destinythetaleofkamakura
Malice N Wonderland (2010),drama musical year2010,malicenwonderland
Mera Naam Joker (1972),drama romance year1972,meranaamjoker
Hammett (1982),crime mystery year1982,hammett
Saajan (1991),drama romance year1991,saajan
Fanny by Gaslight (1944),drama romance year1944,fannybygaslight
Loverboy (2005),drama romance year2005,loverboy
Hitch Hike to Hell (1977),crime mystery year1977,hitchhiketohell
Murder with Pictures (1936),crime mystery year1936,murderwithpictures
Firehouse Dog (2007),action comedy year2007,firehousedog
Burnout 2 (2016),action comedy year2016,burnout2
Smash-Up: The Story of a Woman (1947),drama romance year1947,smashupthestoryofawoman
The Life of Fish (2010),drama romance year2010,thelifeoffish
Caterina in the Big City (Caterina va in città) (2003),drama romance year2003,caterinainthebigcitycaterinavaincitt
The Extreme Adventures of Super Dave (2000),action comedy year2000,theextremeadventuresofsuperdave
Saathiya (2002),drama romance year2002,saathiya
"Night in Heaven, A (1983)",drama romance year1983,anightinheaven
Lush Life (1993),drama musical year1993,lushlife
"Bird of the Air, A (Loop, The) (2011)",drama romance year2011,birdoftheairaloopthe
"Fast Runner, The (Atanarjuat) (2001)",drama fantasy year2001,fastrunnertheatanarjuat
Nest of Vipers (1978),drama romance year1978,nestofvipers
Moscow Does Not Believe in Tears (Moskva slezam ne verit) (1979),drama romance year1979,moscowdoesnotbelieveintearsmoskvaslezamneverit
"Great Silence, The (Grande silenzio, Il) (1969)",drama western year1969,greatsilencethegrandesilenzioil
One Fine Day (1996),drama romance year1996,onefineday
Leningrad: Kolshik (2017),action comedy year2017,leningradkolshik
Le camion (1977),drama romance year1977,lecamion
"Trail of the Lonesome Pine, The (1936)",drama romance year1936,thetrailofthelonesomepine
Blue Spring Ride (2014),drama romance year2014,bluespringride
Man on High Heels (2014),action comedy year2014,manonhighheels
A Walk in the Spring Rain (1970),drama romance year1970,awalkinthespringrain
My Days of Mercy (2017),drama romance year2017,mydaysofmercy
Kissing on the Mouth (2005),drama romance year2005,kissingonthemouth
Art History (2011),drama romance year2011,arthistory
Miss Farkku-Suomi (2012),drama romance year2012,missfarkkusuomi
"Kiss, The (1929)",drama romance year1929,thekiss
Company (2011),drama musical year2011,company
Partition (2007),drama romance year2007,partition
"Wedding Gift, The (1994)",drama romance year1994,theweddinggift
Billion (2019),action comedy year2019,billion
Maine Pyar Kiya (1989),drama romance year1989,mainepyarkiya
Plum Blossom (2000),drama romance year2000,plumblossom
Newness (2017),drama romance year2017,newness
Santo and Blue Demon vs. Dr. Frankenstein (1974),action horror year1974,santoandbluedemonvsdrfrankenstein
Black 47 (2018),drama western year2018,black47
Socialist Zombie Massacre (2014),comedy horror year2014,socialistzombiemassacre
Father Sergius (Otets Sergiy) (1917),drama romance year1917,fathersergiusotetssergiy
Raintree County (1957),drama romance year1957,raintreecounty
Holidays (2016),comedy horror year2016,holidays
Gone to Earth (1950),drama romance year1950,gonetoearth
Girls with Balls (2019),comedy horror year2019,girlswithballs
"Hello, Friend (2003)",comedy horror year2003,hellofriend
Head of the Family (1996),comedy horror year1996,headofthefamily
Quadrophenia (1979),drama musical year1979,quadrophenia
I Don't Want to Talk About It (De eso no se habla) (1993),drama romance year1993,idontwanttotalkaboutitdeesonosehabla
About Mrs. Leslie (1954),drama romance year1954,aboutmrsleslie
If Beale Street Could Talk (2018),drama romance year2018,ifbealestreetcouldtalk
Oscar and Lucinda (a.k.a. Oscar & Lucinda) (1997),drama romance year1997,oscarandlucindaakaoscarlucinda
ABCD (Any Body Can Dance) (2013),drama romance year2013,abcdanybodycandance
The Old Fairy Tale: When the Sun Was God (2003),drama fantasy year2003,theoldfairytalewhenthesunwasgod
The Phantom of Paris (1931),drama mystery year1931,thephantomofparis
Cosmopolitan (2003),drama romance year2003,cosmopolitan
Raja Hindustani (1996),drama romance year1996,rajahindustani
Khamoshi: The Musical (1996),drama romance year1996,khamoshithemusical
Barsaat (1995),drama romance year1995,barsaat
Guinea Pig 3: He Never Dies (1986),comedy horror year1986,guineapig3heneverdies
En Route (2004),drama romance year2004,enroute
Bloodworth (2010),drama romance year2010,bloodworth
Eternal Summer (2006),drama romance year2006,eternalsummer
Cafe Noir (2009),drama romance year2009,cafenoir
Get Your Stuff (2000),drama romance year2000,getyourstuff
Little Children (2006),drama romance year2006,littlechildren
Ramante Edanthottam (2017),drama romance year2017,ramanteedanthottam
Hey Jude (2018),drama romance year2018,heyjude
Rot ist die Liebe (1957),drama romance year1957,rotistdieliebe
The Teacher's Diary (2014),drama romance year2014,theteachersdiary
How to Follow Strangers (2013),drama romance year2013,howtofollowstrangers
Little Dorrit (1988),drama romance year1988,littledorrit
Westward the Women (1951),drama western year1951,westwardthewomen
Klip (Clip) (2012),drama romance year2012,klipclip
Center Stage (2000),drama musical year2000,centerstage
Ennu Ninte Moideen (2015),drama romance year2015,ennunintemoideen
Parrish (1961),drama romance year1961,parrish
Rhapsody (1954),drama romance year1954,rhapsody
Kentucky (1938),drama romance year1938,kentucky
"Apple, The (1980)",musical scifi year1980,theapple
Graffiti Bridge (1990),drama musical year1990,graffitibridge
Campfire (2004),drama romance year2004,campfire
A Year of the Quiet Sun (1984),drama romance year1984,ayearofthequietsun
Emanuelle in Bangkok (1976),drama romance year1976,emanuelleinbangkok
Emmanuelle 6 (1992),drama romance year1992,emmanuelle6
Rachel Getting Married (2008),drama romance year2008,rachelgettingmarried
Alone in the Dark II (2008),action horror year2008,aloneinthedarkii
Love Eternal (2013),drama mystery year2013,loveeternal
Ghost of Hanging in Utsunomiya (1956),action horror year1956,ghostofhanginginutsunomiya
Silent But Deadly (2010),comedy horror year2010,silentbutdeadly
Cat Sick Blues (2016),comedy horror year2016,catsickblues
Ed and His Dead Mother (1993),comedy horror year1993,edandhisdeadmother
"Elementary Particles, The (Elementarteilchen) (2006)",drama romance year2006,elementaryparticlestheelementarteilchen
Fellini's Casanova (Il Casanova di Federico Fellini) (1976),drama romance year1976,felliniscasanovailcasanovadifedericofellini
"Guitar, The (2008)",drama romance year2008,theguitar
Accomplices (Complices) (2009),crime mystery year2009,accomplicescomplices
3some (Castillos de cartón) (2009),drama romance year2009,3somecastillosdecartn
Germinal (1993),drama romance year1993,germinal
Mr. Superinvisible (1970),action comedy year1970,mrsuperinvisible
John and Mary (1969),drama romance year1969,johnandmary
Everyone Else (Alle Anderen) (2009),drama romance year2009,everyoneelsealleanderen
StreetDance 2 (2012),drama romance year2012,streetdance2
Shriek If You Know What I Did Last Friday the Thirteenth (2000),comedy horror year2000,shriekifyouknowwhatididlastfridaythethirteenth
Save the Last Dance 2 (2006),drama romance year2006,savethelastdance2
Barking Dogs Never Bite (Flandersui gae) (2000),comedy horror year2000,barkingdogsneverbiteflandersuigae
Till the End of Time (1946),drama romance year1946,tilltheendoftime
Heaven's Bookstore (2004),drama romance year2004,heavensbookstore
Hanging Garden (2005),drama romance year2005,hanginggarden
"Bad Girls (Biches, Les) (1968)",drama mystery year1968,badgirlsbichesles
"Secrets, The (Sodot, Ha-) (2007)",drama romance year2007,secretsthesodotha
Nights in Rodanthe (2008),drama romance year2008,nightsinrodanthe
In China They Eat Dogs (I Kina spiser de hunde) (1999),action comedy year1999,inchinatheyeatdogsikinaspiserdehunde
My Summer of Love (2004),drama romance year2004,mysummeroflove
This Movie Is Broken (2010),drama romance year2010,thismovieisbroken
Undertow (Contracorriente) (2009),drama romance year2009,undertowcontracorriente
Gwen (2019),drama mystery year2019,gwen
Life in a... Metro (2007),drama romance year2007,lifeinametro
Frontera (2014),drama western year2014,frontera
"Duchess, The (2008)",drama romance year2008,theduchess
Must Have Been Love (2012),drama romance year2012,musthavebeenlove
The Mansion (2017),comedy horror year2017,themansion
Dear God No! (2011),comedy horror year2011,deargodno
Kill the Dragon (1988),drama fantasy year1988,killthedragon
You Hurt My Feelings (2012),drama romance year2012,youhurtmyfeelings
A Good Rain Knows (2009),drama romance year2009,agoodrainknows
Fox Hunt (1996),action comedy year1996,foxhunt
Thirty-Two Short Films About Glenn Gould (1993),drama musical year1993,thirtytwoshortfilmsaboutglenngould
Kiss Me (Kyss Mig) (2011),drama romance year2011,kissmekyssmig
Sunrise: A Song of Two Humans (1927),drama romance year1927,sunriseasongoftwohumans
Taal (1999),drama romance year1999,taal
"Mind Reader, The (1933)",drama romance year1933,themindreader
One from the Heart (1982),drama romance year1982,onefromtheheart
The Kreutzer Sonata (2008),drama romance year2008,thekreutzersonata
Fögi Is a Bastard (1998),drama romance year1998,fgiisabastard
Villon's Wife (2009),drama romance year2009,villonswife
Cartagena (2009),drama romance year2009,cartagena
American Beauty (1999),drama romance year1999,americanbeauty
Othello (1965),drama romance year1965,othello
No Greater Love (2009),drama romance year2009,nogreaterlove
Hollywood Vice Squad (1986),action comedy year1986,hollywoodvicesquad
Scare Campaign (2016),comedy horror year2016,scarecampaign
Wartime (1986),adventure war year1986,wartime
Catherine of Russia (1963),drama romance year1963,catherineofrussia
008: Operation Exterminate (1966),action comedy year1966,8operationexterminate
84 Charing Cross Road (1987),drama romance year1987,84charingcrossroad
Young Girls of Wilko (1979),drama romance year1979,younggirlsofwilko
Last Train from Gun Hill (1959),drama western year1959,lasttrainfromgunhill
Rainbow Song (2006),drama romance year2006,rainbowsong
"Minus Man, The (1999)",drama mystery year1999,theminusman
Springtime in a Small Town (Xiao cheng zhi chun) (2002),drama romance year2002,springtimeinasmalltownxiaochengzhichun
Warm Summer Rain (1989),drama romance year1989,warmsummerrain
The Waiting City (2010),drama romance year2010,thewaitingcity
Bang Boom Bang - Ein todsicheres Ding (1999),action comedy year1999,bangboombangeintodsicheresding
Innocent Blood (1992),comedy horror year1992,innocentblood
Wild Hearts Can't Be Broken (1991),drama romance year1991,wildheartscantbebroken
Dhadkan (2000),drama romance year2000,dhadkan
Meet the Blacks (2016),comedy horror year2016,meettheblacks
Southside With You (2016),drama romance year2016,southsidewithyou
Blood and Sand (1922),drama romance year1922,bloodandsand
"Last Metro, The (Dernier métro, Le) (1980)",drama romance year1980,lastmetrothederniermtrole
Woman Wanted (1999),drama romance year1999,womanwanted
A Man and a Woman (2016),drama romance year2016,amanandawoman
Love in the Time of Monsters (2014),comedy horror year2014,loveinthetimeofmonsters
Laundry (2002),drama romance year2002,laundry
The Day After (2017),drama romance year2017,thedayafter
I Had A Bloody Good Time At House Harker (2016),comedy horror year2016,ihadabloodygoodtimeathouseharker
Freebie and the Bean (1974),action comedy year1974,freebieandthebean
Beyond the Valley of the Dolls (1970),comedy horror year1970,beyondthevalleyofthedolls
O Quatrilho (1995),drama romance year1995,oquatrilho
Anna and the King of Siam (1946),drama romance year1946,annaandthekingofsiam
The Full Treatment (1960),drama mystery year1960,thefulltreatment
"Blue Angel, The (1930)",drama musical year1930,theblueangel
Before Midnight (2013),drama romance year2013,beforemidnight
Shadowlands (1993),drama romance year1993,shadowlands
Westward Ho (1935),drama western year1935,westwardho
The Black Doll (1938),crime mystery year1938,theblackdoll
Red Istanbul (2017),drama romance year2017,redistanbul
His Brother's Wife (1936),drama romance year1936,hisbrotherswife
Lady of the Tropics (1939),drama romance year1939,ladyofthetropics
Into the Sun (1992),action comedy year1992,intothesun
The Shining Hour (1938),drama romance year1938,theshininghour
Anacleto: Agente secreto (2015),action comedy year2015,anacletoagentesecreto
Fiza (2000),drama romance year2000,fiza
Refugee (2000),drama romance year2000,refugee
Quo Vadis (1951),drama romance year1951,quovadis
Dark Delusion (1947),drama mystery year1947,darkdelusion
His Wife's Diary (2000),drama romance year2000,hiswifesdiary
À nos amours (1983),drama romance year1983,nosamours
Applause (1929),drama musical year1929,applause
"Man Who Laughs, The (1928)",drama romance year1928,themanwholaughs
Three Violent People (1957),drama western year1957,threeviolentpeople
The Girl from Nagasaki (2013),drama romance year2013,thegirlfromnagasaki
God's Own Country (2017),drama romance year2017,godsowncountry
Painted Skin: The Resurrection (2012),drama fantasy year2012,paintedskintheresurrection
Moonrunners (1975),action comedy year1975,moonrunners
You Can't Kill Stephen King (2013),comedy horror year2013,youcantkillstephenking
Letters to Juliet (2010),drama romance year2010,letterstojuliet
Magic Fire (1956),drama romance year1956,magicfire
Queen Christina (1933),drama romance year1933,queenchristina
Assault of the Sasquatch (Sasquatch Assault) (2009),action horror year2009,assaultofthesasquatchsasquatchassault
"Piano, The (1993)",drama romance year1993,thepiano
Woman Obsessed (1959),drama romance year1959,womanobsessed
American Rescue Squad (2015),action comedy year2015,americanrescuesquad
"Remains of the Day, The (1993)",drama romance year1993,theremainsoftheday
Paper Soldier (Bumazhnyy soldat) (2008),drama romance year2008,papersoldierbumazhnyysoldat
Hooper (1978),action comedy year1978,hooper
Child of Rage (1992),drama mystery year1992,childofrage
Tim (1979),drama romance year1979,tim
MoniKa (2012),drama romance year2012,monika
Copying Beethoven (2006),drama musical year2006,copyingbeethoven
Two Moon Junction (1988),drama romance year1988,twomoonjunction
Ash Wednesday (1973),drama mystery year1973,ashwednesday
The Far Pavilions (1984),drama romance year1984,thefarpavilions
Hallway (2015),drama fantasy year2015,hallway
DarkBlueAlmostBlack (Azuloscurocasinegro) (2006),drama romance year2006,darkbluealmostblackazuloscurocasinegro
The Coalition (2013),drama romance year2013,thecoalition
Old San Francisco (1927),drama romance year1927,oldsanfrancisco
Wonderful World (2009),drama romance year2009,wonderfulworld
Get Smart's Bruce and Lloyd Out of Control (2008),action comedy year2008,getsmartsbruceandlloydoutofcontrol
"Heart of Me, The (2002)",drama romance year2002,theheartofme
Mississippi Masala (1991),drama romance year1991,mississippimasala
"Unforgiven, The (1960)",drama western year1960,theunforgiven
El cimarrón (2006),drama romance year2006,elcimarrn
"Beautiful Person, The (La belle personne) (2008)",drama romance year2008,beautifulpersonthelabellepersonne
Traumnovelle (1969),drama mystery year1969,traumnovelle
Hot Summer in Barefoot County (1974),action comedy year1974,hotsummerinbarefootcounty
Fiddler on the Roof (1971),drama musical year1971,fiddlerontheroof
Subterranea (2015),drama mystery year2015,subterranea
I'll Wait for You (1941),drama romance year1941,illwaitforyou
The Rainbow Thief (1990),drama fantasy year1990,therainbowthief
Purple Rain (1984),drama musical year1984,purplerain
Kadal (2013),drama romance year2013,kadal
Tabu (2012),drama romance year2012,tabu
Love Loves Coincidences (2011),drama romance year2011,lovelovescoincidences
M. Butterfly (1993),drama romance year1993,mbutterfly
Beauty and the Least (2012),drama romance year2012,beautyandtheleast
Room 314 (2006),drama romance year2006,room314
A Love Affair of Sorts (2011),drama romance year2011,aloveaffairofsorts
Simon Sez (1999),action comedy year1999,simonsez
Guinevere (1999),drama romance year1999,guinevere
Shark Attack (1999),action horror year1999,sharkattack
Elvis and Me (1988),drama romance year1988,elvisandme
7G Rainbow Colony (2004),drama romance year2004,7grainbowcolony
The Reconquest (2016),drama romance year2016,thereconquest
Priceless (2016),drama romance year2016,priceless
The Juniper Tree (1990),drama fantasy year1990,thejunipertree
Parthibhan Kanavu (2003),drama romance year2003,parthibhankanavu
Lucky Night (1939),drama romance year1939,luckynight
"Love, Money, Love (2000)",drama romance year2000,lovemoneylove
The Idolmaker (1980),drama romance year1980,theidolmaker
"Great Locomotive Chase, The (1956)",adventure war year1956,thegreatlocomotivechase
"Education, An (2009)",drama romance year2009,aneducation
I Accidentally Domed Your Son (2004),action comedy year2004,iaccidentallydomedyourson
The Lickerish Quartet (1970),drama romance year1970,thelickerishquartet
The Devil's Daffodil (1961),crime mystery year1961,thedevilsdaffodil
"Pride and the Passion, The (1957)",adventure war year1957,theprideandthepassion
Deep in the Woods (2010),drama romance year2010,deepinthewoods
Black Tights (1-2-3-4 ou Les Collants noirs) (1960),drama musical year1960,blacktights1234oulescollantsnoirs
Our Daily Bread (1934),drama romance year1934,ourdailybread
Bay of Angels (La baie des anges) (1963),drama romance year1963,bayofangelslabaiedesanges
My Mom's a Werewolf (1989),comedy horror year1989,mymomsawerewolf
Date of the Dead (2017),comedy horror year2017,dateofthedead
Walk Proud (1979),drama romance year1979,walkproud
Cinderella Man (2005),drama romance year2005,cinderellaman
Tru Love (2013),drama romance year2013,trulove
Parnell (1937),drama romance year1937,parnell
Dolls (2002),drama romance year2002,dolls
What's Love Got to Do with It? (1993),drama musical year1993,whatslovegottodowithit
Lorna Doone (2001),drama romance year2001,lornadoone
Random Hearts (1999),drama romance year1999,randomhearts
Girl with Green Eyes (1964),drama romance year1964,girlwithgreeneyes
The Battle of Kerzhenets (1971),animation war year1971,thebattleofkerzhenets
Lunch Box (2004),drama romance year2004,lunchbox
"Story of Mankind, The (1957)",drama fantasy year1957,thestoryofmankind
Lost in Siberia (1991),drama romance year1991,lostinsiberia
I Hope for You (1992),drama romance year1992,ihopeforyou
"House of the Spirits, The (1993)",drama romance year1993,thehouseofthespirits
Iceman: The Time Traveler (2018),action comedy year2018,icemanthetimetraveler
The Middle of the World (1974),drama romance year1974,themiddleoftheworld
One More Chance (2007),drama romance year2007,onemorechance
Maîtresse (Mistress) (1975),drama romance year1975,matressemistress
Monk Comes Down The Mountain (2015),action comedy year2015,monkcomesdownthemountain
That Night (1993),drama romance year1993,thatnight
Terror Firmer (1999),comedy horror year1999,terrorfirmer
Lumberjack Man (2015),comedy horror year2015,lumberjackman
Darling (2010),drama romance year2010,darling
"Spider's Stratagem, The (Strategia del ragno) (1970)",drama mystery year1970,spidersstratagemthestrategiadelragno
Iron Monkey (Siu nin Wong Fei-hung ji: Tit Ma Lau) (1993),action comedy year1993,ironmonkeysiuninwongfeihungjititmalau
Go Fish (1994),drama romance year1994,gofish
Geronimo: An American Legend (1993),drama western year1993,geronimoanamericanlegend
Agatha (1979),drama mystery year1979,agatha
An Afternoon (2014),drama romance year2014,anafternoon
Headwinds (2011),drama mystery year2011,headwinds
Tre (2006),drama romance year2006,tre
American Zombie (2007),comedy horror year2007,americanzombie
Blue Valentine (2010),drama romance year2010,bluevalentine
Smart Woman (1948),drama romance year1948,smartwoman
The Gift of Love (1978),drama romance year1978,thegiftoflove
Dhadak (2018),drama romance year2018,dhadak
"Burning Plain, The (2008)",drama romance year2008,theburningplain
Middle of Nowhere (2012),drama romance year2012,middleofnowhere
Renoir (2012),drama romance year2012,renoir
Morgan Pålsson - världsreporter (2008),action comedy year2008,morganplssonvrldsreporter
Like Crazy (2011),drama romance year2011,likecrazy
9 Songs (2004),drama romance year2004,9songs
Cyborg X (2016),action horror year2016,cyborgx
The Florodora Girl (1930),drama romance year1930,theflorodoragirl
Sergeant Rutledge (1960),crime western year1960,sergeantrutledge
Drunken Master Part II: Dance of the Drunk Mantis (1979),action comedy year1979,drunkenmasterpartiidanceofthedrunkmantis
"Visit, The (2015)",comedy horror year2015,thevisit
Four Daughters (1938),drama romance year1938,fourdaughters
"Crow: Salvation, The (2000)",action horror year2000,thecrowsalvation
Hidden Places (2006),drama romance year2006,hiddenplaces
Multiple Sarcasms (2010),drama romance year2010,multiplesarcasms
36 Chowringhee Lane (1981),drama romance year1981,36chowringheelane
"Lady and the Duke, The (Anglaise et le duc, L') (2001)",drama romance year2001,ladyandtheduketheanglaiseetleducl
"Wedding Director, The (Il regista di matrimoni) (2006)",drama mystery year2006,weddingdirectortheilregistadimatrimoni
Curse of the Queerwolf (1988),comedy horror year1988,curseofthequeerwolf
Sundays at Tiffany's (2010),drama romance year2010,sundaysattiffanys
William & Kate (2011),drama romance year2011,williamkate
Easier with Practice (2009),drama romance year2009,easierwithpractice
Minutes to Midnight (2018),action horror year2018,minutestomidnight
I Sell the Dead (2008),comedy horror year2008,isellthedead
Phata Poster Nikhla Hero (2013),action comedy year2013,phataposternikhlahero
Drunken Master (Jui kuen) (1978),action comedy year1978,drunkenmasterjuikuen
Children of Paradise (Les enfants du paradis) (1945),drama romance year1945,childrenofparadiselesenfantsduparadis
The Unholy Garden (1931),drama romance year1931,theunholygarden
Fucking Berlin (2016),drama romance year2016,fuckingberlin
Zoe (2018),romance scifi year2018,zoe
Panama Lady (1939),drama romance year1939,panamalady
"Ennui, L' (1998)",drama romance year1998,ennuil
Traxx (1988),action comedy year1988,traxx
"Haunted House, A (2013)",comedy horror year2013,ahauntedhouse
Teeth (2007),comedy horror year2007,teeth
Linda and Abilene (1969),drama western year1969,lindaandabilene
A Long and Happy Life (1966),drama romance year1966,alongandhappylife
Jogwa - The Awakening (2009),drama romance year2009,jogwatheawakening
Rancho Notorious (1952),drama western year1952,ranchonotorious
Sparrow (a.k.a. Cultured Bird) (Man jeuk) (2008),drama romance year2008,sparrowakaculturedbirdmanjeuk
Cloak and Dagger (1946),drama romance year1946,cloakanddagger
Akron (2015),drama romance year2015,akron
Mugavari (2000),drama romance year2000,mugavari
The Miracles of the Namiya General Store (2017),drama fantasy year2017,themiraclesofthenamiyageneralstore
Georg (2007),drama musical year2007,georg
"Wedding March, The (1928)",drama romance year1928,theweddingmarch
My Beautiful Laundrette (1985),drama romance year1985,mybeautifullaundrette
Big Bad Mama II (1987),action comedy year1987,bigbadmamaii
Big Bad Mama (1974),action comedy year1974,bigbadmama
Ram Gopal Varma Ki Aag (2007),action comedy year2007,ramgopalvarmakiaag
Chandni Chowk to China (2009),action comedy year2009,chandnichowktochina
For Love One Dies (1972),drama romance year1972,forloveonedies
"Sea of Grass, The (1947)",drama western year1947,theseaofgrass
Trapped in the Closet: Chapters 1-12 (2005),drama musical year2005,trappedintheclosetchapters112
Attack the Gas Station 2 (2010),action comedy year2010,attackthegasstation2
Luna de Avellaneda (2004),drama romance year2004,lunadeavellaneda
They Learned About Women (1930),drama musical year1930,theylearnedaboutwomen
Lovers & Leavers (Kuutamolla) (2002),drama romance year2002,loversleaverskuutamolla
Maniac Cop 3: Badge of Silence (1993),action horror year1993,maniaccop3badgeofsilence
Hell's Kitty (2018),comedy horror year2018,hellskitty
The Blood of Jesus (1941),drama fantasy year1941,thebloodofjesus
Summer Killer (2002),action comedy year2002,summerkiller
"Crying Out Love in the Center of the World (Sekai no chûshin de, ai o sakebu) (2004)",drama romance year2004,cryingoutloveinthecenteroftheworldsekainochshindeaiosakebu
Killing Gunther (2017),action comedy year2017,killinggunther
The Classic (2003),drama romance year2003,theclassic
Umrao Jaan (2006),drama romance year2006,umraojaan
"Amor brujo, El (Love Bewitched, A) (1986)",drama musical year1986,amorbrujoellovebewitcheda
Reds (1981),drama romance year1981,reds
Brief Encounter (1946),drama romance year1946,briefencounter
The Member of the Wedding (1997),drama romance year1997,thememberofthewedding
Indochine (1992),drama romance year1992,indochine
Flashdance (1983),drama romance year1983,flashdance
The Dancer (2011),drama romance year2011,thedancer
2 Seconds (1998),drama romance year1998,2seconds
Nine Days of One Year (1961),drama romance year1961,ninedaysofoneyear
Henry Poole is Here (2008),drama mystery year2008,henrypooleishere
Blue Sky (1994),drama romance year1994,bluesky
Give My Regards to Broad Street (1984),drama musical year1984,givemyregardstobroadstreet
The Lost Valentine (2011),drama romance year2011,thelostvalentine
Reality XL (2012),mystery scifi year2012,realityxl
Christopher and His Kind (2011),drama romance year2011,christopherandhiskind
Sincere Heart (1953),drama romance year1953,sincereheart
"Prince of Tides, The (1991)",drama romance year1991,theprinceoftides
Cabaret (1972),drama musical year1972,cabaret
Lucky Stiff (1988),comedy horror year1988,luckystiff
Bobby Deerfield (1977),drama romance year1977,bobbydeerfield
Tonight It's Me (2014),drama romance year2014,tonightitsme
"Fearless Vampire Killers, The (1967)",comedy horror year1967,thefearlessvampirekillers
Labyrinth of Flames (2000),action comedy year2000,labyrinthofflames
Seed of Chucky (Child's Play 5) (2004),comedy horror year2004,seedofchuckychildsplay5
Farewell My Concubine (Ba wang bie ji) (1993),drama romance year1993,farewellmyconcubinebawangbieji
The Breakup Playlist (2015),drama romance year2015,thebreakupplaylist
"Other Boleyn Girl, The (2008)",drama romance year2008,theotherboleyngirl
